Headhunters	獵頭遊戲
Angel	逐愛天堂
Kick-Ass 2	特攻聯盟2
The Assassination of Jesse James by the Coward Robert Ford	刺殺傑西
Stranger by the Lake	湖畔春光
Dolphin Tale 2	溫特的故事2
Smallfoot	小腳怪
Fugitive Pieces	心碎時光
The Smurfs	藍色小精靈
College	大學預備生
Hellboy 2	地獄怪客2
Town Creek	鬼哭人嚎
Summer Hours	夏日時光
Lion	漫漫回家路
Spare Parts	夢想啟動
After the Wedding	婚禮之後
Arctic Tale	極地熊寶貝
Friend Request	非死不可
Stung	蜂狂
Dedication	插畫情緣
Vita Activa: The Spirit of Hannah Arendt	─思想的行動
The Pirates! Band of Misfits	海賊天團
The Time Traveler's Wife	時空旅人之妻
The Void	恐懼虛空
Spotlight	驚爆焦點
I'll Follow You Down	時空效應
Tokyo Sonata	東京奏鳴曲
Blair Witch	厄夜叢林3
The Big Year	賞鳥的一年
Crossing Over	嫁禍手段
Barnyard	瘋狂農莊
The Good Shepherd	特務風雲
Vacation	全家玩到趴
Meet Dave	大衛特大號
Lost in Thailand	人再囧途之泰囧
The Paperboy	臨時派報員
From Prada To Nada	小姐好窮
Paranormal Activity 4	鬼入鏡4
She's Out of My League	辣妹愛宅男
The Game Plan	超級盃奶爸
Home of the Brave	勇士之家
Night at the Museum: Battle of the Smithsonian	博物館驚魂夜2
Elite Squad	精銳部隊
Requiem	靈界線
Big Game	總統遊戲
The Green Prince	哈瑪斯之子
About Ray	幸福不設限
Legend	金牌黑幫
Drive	落日車神
Dr. Seuss' The Lorax	羅雷司
The Orphanage	靈異孤兒院
Marilyn Hotchkiss' Ballroom Dancing and Charm School	舞動心方向
Vita Activa: The Spirit of Hannah Arendt	漢娜鄂蘭
Fever Pitch	愛情全壘打
The Change-Up	玩咖尬宅爸
August Rush	貝伍夫:把愛找回來
Margot at the Wedding	婚禮的祝福
Megamind	麥克邁:超能壞蛋
Monsters University	怪獸大學
Before I Wake	鬼撕眠
King Cobra	眼鏡蛇男神
Wish I Was Here	白日夢孩子王
The Tempest	暴風雨
Sin City: A Dame to Kill For	萬惡城市2
Miss Meadows	甜心殺手
Night at the Museum 3	博物館驚魂夜3
Zoolander 2	名模大間諜2
Attack the Block	異星大作戰
Aquamarine	美人魚之戀
Pride and Prejudice and Zombies	傲慢與偏見與殭屍
The New World	決戰新世界
Katy Perry: Part of Me	凱蒂佩芮:做我自己
In the Name of the King: A Dungeon Siege Tale	末日危城
Wallace & Gromit - The Curse of the Were-Rabbit	酷狗寶貝
Everest	聖母峰
Burn After Reading	即刻毀滅
Lucy	露西
Central Intelligence	中央情報局
Bangkok Dangerous	無聲火
There Will Be Blood	黑金企業
Brokeback Mountain	斷背山
Kindergarten Cop 2	魔鬼孩子王2
Robots	機器人歷險記
Precious: Based on the Novel "Push" by Sapphire	珍愛人生
White House Down	白宮末日
The Lost City of Z	失落之城
American Sniper	美國狙擊手
Proof	證明我愛你
2016: Obama's America	2016:歐巴馬的美國
Madagascar	馬達加斯加
Death of a Superhero	愛情超能量
John Rabe	拉貝日記
The Disappointments Room	鬼開門
Maps to the Stars	寂寞星圖
Killing Them Softly	殺戮行動
The Monkey King 2	西遊記之孫悟空三打白骨精
The Man From U.N.C.L.E.	紳士密令
