Sex, Party and Lies	謊言性派對
The World in Two Round Trips	小人物征服大世界
Unforgettable Golden Beach	難忘金銀灘
Beyond Skyline	天劫:救贖之戰
Na Na De Mei Gui Zhan Zheng	娜娜的玫瑰戰爭
Jackass Presents:Bad Grandpa	無厘取鬧:祖孫卡好
Planetarium	通靈美人
Sadako 3D	貞子3D
Sick Nurses	恐怖護理站
The Little Mermaid: Attack of The Pirates	美人魚之海盜來襲
The Ghost Tales	變羊記
The Best of Me	有你，生命最完整
Gone	致命救援
Double Trouble	寶島雙雄
12 Citizens	十二公民
The Ghost Festival	盂蘭神功
The Human Centipede 3	人形蜈蚣3
Bad Girls	女孩壞壞
The Next Magic	下一個奇蹟
Shi Laihe Son of Earth	大地赤子史來賀
Mr. & Mrs. Gambler	爛賭夫鬥爛賭妻
99 Homes	居住正義
American Sniper	美國狙擊手
One Direction: This Is Us	1世代：我們的世代
Gunman	全面逃殺
Kung Fu Angels	精武青春
Ghost of Model	模特魅影
Tekkonkinkreet	惡童當街
Revanche	維也納復仇
I Kissed a Girl	新郎嫁錯郎
Annabelle	安娜貝爾
The Crossing Ⅱ	太平輪：驚濤摯愛
Gintama	銀魂
The Possession of Emma Evans	惡靈附體
Love at First Sight	第一眼愛情
The Last Five Years	最後那五年
Yong Chun Xiao Long	詠春小龍
Killer Elite	殺手精英
Midnight Sun	極地奇蹟
Allacciate Le Cinture	愛情初邂逅
labor day	一日一生
Ghost House	猛鬼抓交替
Oslo, 31. august	八月三十一日,我在奧斯陸
Go Lala Go 2	杜拉拉追婚記
Love, At First	愛之初體驗
Young Time	青春時光
The Fluffy Movie	蓬鬆哥脫口秀
20th Century Boys 3: Our Flag	20世紀少年3
Ninja Assassin	忍者刺客
Who Gets the Dog?	毛小孩選邊站
My Best Friend's Girl	壞壞惹人愛
Alone	連體陰
I Am Not A Thief	我不是賊
Desperate Rescue	危情營救
Take the A Train	幸福特快車
Rookie Chef	神廚
Perfect Strangers	完美陌生人
パレード	東京同棲生活
Enter the Void	嗑到荼蘼
Rhythm of the Rain	聽見下雨的聲音
Comet Impact	2008隕石噩夢
The Book Thief	偷書賊
Rock Hero	搖滾英雄
Rock Me To The Moon	一首搖滾上月球
Office	華麗上班族
The Wait	西西里的漫長等待
The Somalia Truth	索馬利亞真相
Return of the Cuckoo	十月初五的月光
My Rainy Days	天使之戀
Pleasant Goat and Big Big Wolf 6	喜羊羊與灰太狼6之飛馬奇遇記
The Kid From The Big Apple	我來自紐約
A Fool	一個勺子
A Tale of Three Cities	三城記
Love's Whirlpool	愛的放題
Transformers 4	變形金剛4
Savages	野蠻告白
Ong bak 2	拳霸3
Mad Max: Fury Road	瘋狂麥斯：憤怒道
Goemon	大盜五右衛門
Woman in Gold	名畫的控訴
Hit & Run	飆客找麻煩
The 33D Invader	蜜桃成熟時33D
Detroit	底特律
Huang Haihuai	黃海懷
The Spring Of My Life	最美的時候遇見你
True Story	真實的故事
Hermano	你是我兄弟
Dr. Seuss' Horton Hears a Who	荷頓奇遇記
One Night of Fate	一夜危機
Okja	玉子
I Love wolffy 2	我愛灰太狼2
The Search for General Tso	尋找左宗棠
Fly Me to the Moon	真愛找冤家
Burlesque	舞孃俱樂部
The Crossing Part 2	太平輪:驚濤摯愛
Under The Bed 3	床下有人3
12 Strong	12猛漢
One Piece Film Gold	航海王電影 Gold
Zombiology: Enjoy Yourself Tonight	今晚打喪屍
The Butcher, the Chef and the Swordsman	刀見笑
Blind Detective	盲探
Hector and the Search for Happiness	尋找快樂的15種方法
Step Up 3D	舞力全開3D
Estômago	刑男大主廚
Kung-Fu Yoga	功夫瑜伽
Black Coal, Thin Ice	白日焰火
Jan Dara: The finale	晚孃下部:罪色
Then She Found Me	再給愛一次機會
Closing the Ring	戒情人
From Vegas to Macau III	賭城風雲III
The Conjuring	厲陰宅
Ondine	情陷美人魚
Long's Story	硬漢奶爸
Hill of Ilha Verde	青洲山上
Bad Sister	壞姐姐之拆婚聯盟
Ida	依達的抉擇
Jurassic Park 3D	侏羅紀公園3D
No Zuo No Die	我就是我
The Ghost Tale	變羊記
Zero Point Five Love	0.5的愛情
I Love You Phillip Morris	娘子漢大丈夫
The Chef, The Actor, The Scoundrel	廚子戲子痞子
Billy Lynn’s Long Halftime walk	比利林恩的中場戰事
The Sword of Love	潘多拉的寶劍
Muoi : The Legend of a Portrait	替屍鬼
Mission: Impossible Ghost Protocol	不可能的任務4：鬼影行動
Lucky Dog	石器時代之百萬大偵探
Somewhere	迷失某地
Life as We Know It	命中注定多個你
Mao Zedong and Qi Baishi	毛澤東與齊白石
X+Y	愛的方程式
Isle of Dogs	犬之島
Fight For Justice	進擊之路
Pricess Show	公主的誘惑
