The Jungle Book	與森林共舞
10 Cloverfield Lane	科洛弗10號地窖
Criminal	換腦行動
Friend Request	非死不可
Blackway	反擊
Heaven In the Dark	暗色天堂
Embrace of the Serpent	夢遊亞馬遜
Look Who's Back	吸特樂回來了！
The Clan	大犯罪家
My Golden Days	那些年狂熱戀情
The Fencer	擊劍大師
Love	愛
Finding Vivian Maier	尋秘街拍客
The Brand New Testament	死期大公開
99 Homes	居住正義
The Farewell Party	快樂告別的方法
The Inerasable	被詛咒的房間
Valley of Love	愛重逢以後
Stung	蜂狂
Eva Braun	情慾莊園
Neighbors 2	惡鄰纏身2
Money Monster	金錢怪獸
X-Men: Apocalypse	X戰警:
Alice Through the Looking Glass	魔境夢遊2
Equals	禁愛世界
My Big Fat Greek Wedding 2	我媽的希臘婚禮
The Final Lesson	最後一堂課
Doukyuusei	同級生
Hardcore Henry	超狂亨利
Body	通靈診療室
Florence Foster Jenkins	走音天后
Terra Formars	火星異種
All About Them	我愛妳,妳愛她
The Man Who Knew Infinity	天才無限家
Alaska	愛,囚禁
Mr. Right	真愛有夠殺
Rams	羊男的冰島冒險
Book Of Love	北京遇上西雅圖之不二情書
Ever Been to the Moon	麥田書香
Closet Monster	愛人怪物
The Wait	西西里的漫長等待
Spring	魔物戀人
Spy Time	特務超級爸
Teenage Mutant Ninja Turtles 2	忍者龜2:破影而出
The Conjuring 2	厲陰宅2
My Love Story!!	俺物語!!
Me Before You	我就要你好好的
The Handmaiden	下女的誘惑
Nobunaga Concerto: The Movie	信長協奏曲
Now You See Me: The Second Act	出神入化2
A Hologram for the King	梭哈人生
The Paradise Suite	夢碎天堂
Sing Street	搖滾青春戀習曲
Kizumonogatari: I Tekketsu-hen	傷物語: 鉄血篇
Pressure	深海逃脫
The Canal	運河怪談
Swung	春色蕩漾
The Look of Silence	沉默一瞬
Vita Activa: The Spirit of Hannah Arendt	漢娜鄂蘭─思想的行動
Ghostbusters	魔鬼剋星
Star Trek 3	星際爭霸戰3
Bourne 5	神鬼認證5
The Secret Life of Pets	寵物當家
Before I Wake	鬼撕眠
The Purge: Election Year	國定殺戮日3
High Strung	舞力重擊
Creepy	恐怖鄰人
The Diabolical	異次元凶間
The Most Beautiful Day	最酷的一天
Things to Come	愛情未來
This Summer Feeling	夏日情事
UMRIKA	歡迎來到美國
Viva	變裝皇后萬萬歲
Julieta	沉默茱麗葉
Me, Myself and Her	不只是閨蜜
The BFG	吹夢巨人
Ben-Hur	賓漢
Mechanic: Resurrection	極速秒殺2
Neerja	妮嘉
Call Of Heroes	危城
Up for Love	我的哈比情人
Life on the Line	命懸生死線
One Piece Film Gold	航海王電影 Gold
The Neon Demon	霓虹惡魔
The Commune	丹麥共居生活
Saint Amour	醉後之旅
The Wailing	哭聲
Zero Days	零日網路戰
I'm Off Then	我出去一下
Miles Ahead	瘋狂邁爾士
Hedi	推銷員之戀
Bite	變蟲人
Francofonia	攻佔羅浮宮
Correspondence	愛情天文學
Nine Lives	我的老爸喵星人
Bridget Jone's Baby	BJ有喜
Snowden	神鬼駭客:史諾登
Miss Peregrine's Home for Peculiar Children	怪奇孤兒院
Love & Friendship	蘇珊夫人尋婚計
Nerve	玩命直播
Precious Cargo	終極飆靶
Hell Or High Water	赴湯蹈火
Battle Of Hip Hopera	終極舞班
Abattoir	特厲鬼屋
Morgan	魔詭
Take me home	鬼打牆
Where to Invade Next	插旗攻城市
Green Room	納粹龐克
Operation Chromite	代號: 鐵鉻行動
Chevalier	非普通型男
The Magnificent Nine	殿下萬萬稅
A Man Called Ove	明天別再來敲門
Free the Nipple	Lady's 尖頭們
A Tale of Love and Darkness	愛與黑暗的故事
After the Storm	比海還深
Therapy for a Vampire	吸血鬼腥靈診療
Desierto	最後一次自由
Maggie's Plan	NY單身日記
Deeper	性愛巴弒
Haunted Campus	超自然研究會
Yu-Gi-Oh!: The Dark Side of Dimensions	遊戲王:次元的黑暗面
Me and Kaminski	大藝術家與我
Genius	天才柏金斯
Bitter Honey	甜蜜的哀傷
Evergreen Love	植物圖鑑
The Accountant	會計師
Doctor Strange	奇異博士
Deepwater Horizon	地平線
Inferno	地獄
The Together Project	獵愛大臨演
The Model	時尚帝國合約的開始
Midnight at University	鬼才要畢業
The Light Between Oceans	為妳說的謊
Marguerite	巴黎走音天后
Your Name	你的名字
Tomcat	愛是一隻貓
Ants On a Shrimp	神廚東京壯遊記
The Disappointments Room	鬼開門
The Girl on the Train	列車上的女孩
Perfect Strangers	完美陌生人
Do You See Me?	我的型男老闆
Hollars	重返心原點
Anger	怒
American Pastoral	美國心風暴
Miss You Already	已經很想妳
Masterminds	笨賊樂盜家
Trolls	魔髮精靈
Billy Lynn’s Long Halftime walk	比利林恩的中場戰事
Death Note: Light up the NEW world	死亡筆記本:
Free State of Jones	烈火邊境
Museum	惡魔蛙男
Hacksaw Ridge	鋼鐵英雄
A Monster Calls	怪物來敲門
The 9th Life of Louis Drax	路易的第9條命
Shut In	育陰房
Blair Witch	追殺厄夜叢林
Who Gets the Dog?	毛小孩選邊站
Cherry Tree	陰桃術
Public Friends	玩命光頭
The Preppie Connection	玩酷壞痞子
For Grace	獻給米其林的生命貴客
The Age of Shadows	密探
Nocturnal Animals	夜行動物
La La Land	樂來越愛你
Rogue One: A Star Wars Story	星際大戰外傳:俠盜一號
Passengers	靈異航班
Underworld 5	決戰異世界5
Sing	歡樂好聲音
Collateral Beauty	最美的安排
Why Him?	惱爸偏頭痛
Assassin's Creed	刺客教條
Fallen	墮落天使
Tunnel	失控隧道
10,000 Miles	一萬公里的約定
The Ferryman	擺渡人
Incarnate	卡內陰
Nitro Rush	終極車陣: 飆出重圍
A Street Cat Named Bob	遇見街貓BOB
Marina	瑪麗娜之橋
Planetarium	通靈美人
It's Only the End of the World	不過就是世界
Louder Than Bombs	記憶乍響
I, Daniel Blake	我是布萊克
Sadako vs Kayako	貞子 VS 伽椰子
Brave Rabbit 2 Crazy Circus	闖堂兔2：瘋狂馬戲團
Bicycle Boy	龍騎俠
Miss Granny	重返20歲
The Lead Singer and Dancer and His Woman	傘頭和他的女人
Who's the One	找個高富帥
Lotus Code	諜·蓮花
Shanghai Noir	暴走神探
Money Game	黃金福將
Taste of China	味道中國
Déjà vu	我要你開花
Tales of Mystery	怪談
