Attack On Titan	進擊的巨人
Beyond the Walls	我們的幸福時光
Frozen River	冰原之心
One Piece Movie 3D Mugiwara Chase	航海王3D
Paradox	殺破狼•貪狼
Sex and the City: The Movie	慾望城市電影版
Of Gods and Men	人神之間
Kon-Tiki	康提基號
Old Dogs	歐吉桑卡好
NARA：奈良美智との旅の記録	跟著奈良美智去旅行
The Ghost Rituals	盂蘭神功
child 44	第44個孩子
Citizenfour	第四公民
Mood Indigo	泡沫人生
Clash	衝突的一天
Make Me Shudder 3	這個高中沒有鬼3
Ondine	情陷美人魚
Miss Sloane	攻敵必救
Hermano	你是我兄弟
Parasyte Part 1	寄生獸1
Full Speed	一路不順風
Fireworks, Should We See It from the Side or the Bottom?	煙花
Miss Meadows	甜心殺手
The Black Balloon	吾愛無悔
Young And Beautiful	美麗．誘惑
The World in Two Round Trips	小人物征服大世界
The Edge of Heaven	天堂邊緣
Lemon Tree	檸檬樹
The Evil in Us	命屍樂園
Chinese Puzzle	紐約愛情拼圖
Human Capital	人命大富翁
Roommate	我的恐怖室友
The intruder	蛇降
Frantz	雙面法蘭茲
ぼくたちと駐在さんの700日戦争	我和條子的700天戰爭
The Pain of Others	海巡尖兵
Mr. Bean's Holiday	豆豆假期
Child’s Pose	愛的佔有慾
The Lazarus Project	撕裂記憶體
From a House on Willow Street	綁的不是人
A River Runs Through It	大河戀
Queens	我的酷兒婚禮
The Ghost Tale	變羊記
Greenberg	愛上草食男
The Human Centipede	人形蜈蚣
What Love May Bring	情海浮生錄
The Good, the Bad and the Weird	神偷獵人斷指客
Tears of April	四月情塚
Agora	風暴佳人
The New Girlfriend	女朋友的女朋友
Tales of Halloween	萬聖夜怪譚
The Great Beauty	絕美之城
Partners in Crime	共犯
One Chance	翻聲吧保羅
Maiko Haaaan	舞妓哈哈哈
MICHAEL H. Prefession : Director	漢內克的導演秘密
Ninja Turtles	忍者龜
December Boys	十二月的男孩
Sex, Party and Lies	謊言性派對
Oba: The Last Samurai	太平洋的奇蹟
ROOKIES -卒業-	菜鳥總動員電影版
My Old Lady	巴黎窈窕熟女
The Warrior and the Wolf	狼災記
Perfect Mothers	愛墮落
Tour de Force	騎動人生
The Last Word	她其實沒那麼壞
My Blind Date With Life	看見5%的奇蹟
Rise: Blood Hunter	獵殺鬼世界
Pee Mak Phrakanong	淒厲人妻
It	牠
Rainbow Fireflies	彩虹螢火蟲
Spell	屍油
Manchester by the Sea	海邊的曼徹斯特
All’s Well, Ends Well 2012	八星抱喜
Lilting	輕輕搖晃
キセキ -あの日のソビト-	唱吧!奇蹟!
The Swimmers	水男骸
Eating Out: Drama Camp	外出用餐4
Out of the Dark	童靈眼
Whatever Works	紐約遇到愛
Cha Cha for Twins	寶米恰恰
Where Got Ghost	嚇到笑
イキガミ	死亡預告
Nightwatching	夜巡林布蘭
Sadako 3D 2	貞子3D2
Wonder Wheel	愛情摩天輪
Bahubali 2: The Conclusion	巴霍巴利王2
My Brother Is An Only Child	我哥哥是獨生子
Smuggler	搬運你的未來
Oz: The Great and Powerful	奧茲大帝
Big Game	總統遊戲
Isle of Dogs	犬之島
A Taxi Driver	計程車司機
Summer’s Tail	夏天的尾巴
Sadako 3D	貞子3D
Sound of Noise	噪反城市
Confessions	告白
喜羊羊與灰太狼之虎虎生威	喜羊羊與灰太狼
Net I Die, Drop dead gorgeous	魍美
Inside Llewyn Davis	醉鄉民謠
Caesar Must Die	凱薩必須死
Chaotic Ana	安娜床上之島
Resident Evil: The Final Chapter	惡靈古堡6
That Summer	偷歡
The Orphanage	靈異孤兒院
One Piece Film Z	航海王電影：Z
Beyond Beauty - Taiwan from Above	看見台灣
A Few Hours of Spring	春日光景
Cool Ma	酷馬
Transformers 4	變形金剛4
Butterfly on a Wheel	贖命24小時
Vow of death	求神問鬼
DIVE!!　ダイブ!!	跳水男孩
21 Jump Street 2	龍虎少年隊2
The Lego Batman Movie	樂高蝙蝠俠電影
Father’s Lullaby	手機裡的眼淚
Transformers: The Last Knight	變形金剛5
Eating Out: The Open Weekend	外出用餐5
Alvin and the Chipmunks	鼠來寶
The Brain Man	腦男
Love Strikes!	草食男之桃花期
Samba	巴黎遇見愛
Gattu	風箏孩子王
