哈啦十誡	The Ten
麻吉伴郎	I Love You, Man
暴力	A History of Violence
無賴速成班	School for Scoundrels
拳霸2	The Protector
第十四道門	Coraline
屍控	[Rec] 2
烈焰青春	Standing Tall
計程車司機之死	Taxi to the Dark Side
暮光之城3	The Twilight Saga: Eclipse
戀夏小情歌	God Help the Girl
戰慄時空	The Jacket
同遊義大利	The Trip to Italy 
曼羅奇遇記	Book of Life 
救命解藥	A Cure For Wellness
綠光戰警	Green Lantern
港囧	Lost in Hong Kong
晚安!祝你好運	Good Night. And, Good Luck
午夜巴黎	Midnight in Paris
灰熊人	Grizzly Man
拳頭生涯原是夢	From Mexico with Love 
重擊戒備	Welcome to the Punch 
康乃狄克鬼屋事件2	The Haunting in Connecticut 2: Ghosts of Georgia
已經很想妳	Miss You Already
女朋友男朋友	GF。BF
天生男優	Bucky Larson: Born to be a Star
B咖戰警	The Other Guys
凱文怎麼了	We Need to Talk About Kevin
送子鳥	Storks
迷網女孩	Trust
星際爭霸戰2	Star Trek Sequel
鼠國流浪記	Flushed Away
達拉斯362	Dallas 362 
命中注定多個你	Life As We Know It
特務殺很大	3 Days to Kill 
瑜珈熊	Yogi Bear
輝煌年代	Elizabeth: The Golden Age
大犯罪家	The Clan
無厘取鬧3D	Jackass 3D
殺戮禁區	Shooting Dogs 
扣押幸福	Freeheld
活命條件	Point Blank
別怕黑	Don't Be Afraid of the Dark
夜夜成癮的男人	The Good Night
的中場戰事	Billy Lynn’s Long Halftime walk
緣星夢	Undiscovered
攻殼機動隊	Ghost in the Shell
惡女訂製服	The Dressmaker
醉後大學生	21 and Over
誰敢來早餐	Dead And Breakfast 
東方快車謀殺案	Murder on the Orient Express
愛上野豬妹	The Hottie & the Nottie
末路凶宅	House At The End of the Street
愛,讓悲傷終結	Rabbit Hole
聖境預言書	The Celestine Prophecy
鴻孕當頭	Juno
剝頭煞星	Maniac 
假期	Last Holiday
我們的故事未完待續	Me and Earl and the Dying Girl
美國隊長3	Captain America 3: Civil War 
心的歸屬	Then She Found Me 
愛情停看聽	Learning to Drive
不可能的任務4	Mission: Impossible Ghost Protocol
誰敢來晚餐	Guess Who
嚎囂	Howl
牛仔褲的夏天	The Sisterhood of the Traveling Pants 
旅行的意義	My Life in Ruins
神秘肌膚	Mysterious Skin
快樂腳	Happy Feet
今晚誰當家	Carnage
遜咖冒險王3	Diary of a Wimpy Kid: Dog Days
冰血奇緣	Dead Snow 2: Red vs. Dead 
危機	Our Brand Is Crisis 
孩子	The Child
神鬼傳奇	The Mummy 
上帝在我家	Henry Poole is Here
巴黎拜金女	Priceless
X檔案2	The X Files 2
情聖兄弟	The Brothers Solomon
天才無限家	The Man Who Knew Infinity 
玩命賭徒	The Gambler 
水中的女人	Lady in the Water
隱藏攝影機	Hidden
高校寫真	Palo Alto
殲滅十三區	Assault on Precinct 13 
愛情摩天輪	Wonder Wheel 
黑街神話	Streets of Legend
愛上火星男孩	The Space Between Us
侏羅紀世界	Jurassic World 
冤親債主	The Bye Bye Man 
慾謀	Stoker
限制級褓母	The Pacifier
音樂之光	I Saw the Light
榮耀泳隊	Pride
笨賊樂盜家	Masterminds
媽媽咪呀!	Mamma Mia!
臨門湊一腳	Due Date
胡士托風波	Taking Woodstock
遺失的映像	The Missing Picture
雷神索爾2	Thor: The Dark World
獵魔教士	Priest
史瑞克四	Shrek Forever After
殺手輓歌	The Memory of a Killer 
哈啦猛男秀2	Deuce Bigalow: European Gigolo
藍色情人節	Blue Valentine
五星主廚快餐車	Chef 
逃出熔爐	Out of the Furnace
命懸六百哩	600 Millas 
義國戀	Everybody Wants to Be Italian
求愛馬拉松	Run, Fat Boy, Run
妖瘦男	Slender Man 
彩虹小馬大電影	My Little Pony: The Movie
紳士與流浪漢	Same Kind of Different as Me
愛在巴黎破曉時	Le Week-End
鼠來寶3	Alvin and the Chipmunks - Chipwrecked
世界盡頭	Off the Map 
出竅情人	Just Like Heaven
愛情達陣	Leatherheads
忍者刺客	Ninja Assassin
活屍禁區	George A. Romero's Land of the Dead
仙鏡奇緣	MirrorMask 
蜂蜜罐上的聖瑪利	The Secret Life of Bees
3D血護士	Nurse 3D
魔法玩具城	Mr. Magorium's Wonder Emporium
3D地心冒險	Journey 3-D
希望在世界另一端	The Other Side of Hope
史努比	Peanuts
聖安娜奇蹟	Miracle at St. Anna
鬼霧	The Fog
尋找阿娜答	The Perfect Man 
美味關係	Julie & Julia
大災難家	The Disaster Artist 
衝破顛峰	Lords of Dogtown
科學怪犬	Frankenweenie
金牌製作人	The Producers
俠盜聯盟	The Adventurers
重返海豚灣	Dolphin Tale
劫婚典禮	Ceremony
萬鱷巨獸	Primeval
魔鬼約書亞	Joshua
明日定律	The Zero Theorem
鄰家特務	The Spy Next Door
私法正義	Seeking Justice
白日夢冒險王	The Secret Life of Walter Mitty
百萬小富翁	Millions
明日的記憶	Memories of Tomorrow
猜心	The Painted Veil
奧斯卡的一天	Fruitvale Station
換命法則	Self/less 
疾風禁區	Goal! The Dream Begins 
流離者之歌	Dheepan
大眼睛	Big Eyes 
波斯王子	Prince of Persia: The Sands of Time
馬利與我	Marley & Me
赤誠者	The Divergent Series: Allegiant 
逐浪而生	Run the Tide 
贏向一生的挑戰	The Game of Their Lives
迷霧驚魂	Stephen King's The Mist
請問總統先生	Frost/Nixon 
怪獸大戰外星人	Monsters vs. Aliens 
往下跳	A Long Way Down
針情法網	Puncture
神隱任務2	Jack Reacher 2
往事隨風	Diminished Capacity
天堂五分鐘	Five Minutes of Heaven
紙上城市	Paper Towns
最後那五年	The Last Five Years 
笑逐顏開	Smile 
驚聲尖叫4	Scream 4
魔術師	The Illusionist 
魔由心生	The Killer Inside Me
園長夫人:動物園的奇蹟	The Zookeeper's Wife
一無所有	Everything Must Go
五月風暴	Something in the air
狐狸捕手	Foxcatcher
玩命關頭5	Fast Five
雷霆萬鈞	A Sound of Thunder
梅西的世界	What Maisie Knew 
女人至上	The Women 
暮光之城4:破曉Ⅱ	The Twilight Saga: Breaking Dawn - Part 2
孤雛淚	Oliver Twist 
超危險特工2	Red 2
列車上的女孩	The Girl on the Train 
我愛你	I Love You, Beth Cooper
絕命追緝令	Alex Cross
愛在愛情空窗期	愛在愛情空窗期
樂觀以對	Happy-Go-Lucky
靈魂樂手	Soul Men
往生路	The Road 
傑克巨人戰記	Jack the Giant Killer
誘禍	Don't Tell
香奈兒的秘密	Coco Chanel & Igor Stravinsky 
偷天劫車手	Collide
心塵情緣	Ask the Dust
潛龍突擊隊	Renegades
金陵十三釵	The Flowers of War
飯飯之交	No Strings Attached
盜數計時	Stolen
謊顏	Time
奪魂鋸5	Saw V
狙擊手	Good Kill 
誰來愛我	Holding Trevor 
親愛的別哭	Declaration of War
波西傑克森2	Percy Jackson: Sea of Monsters
我們算正式交往嗎？	That Awkward Moment 
寂寞拍賣師	The Best Offer
速食國度	Fast Food Nation
樂自心中來	Music Within
致命巧克力	Chocolate
神鬼奇航2	Pirates of the Caribbean: Dead Man's Chest
休旅任務	RV
謝謝分享,我的愛	Thanks for Sharing 
賠我走這一程	Off the Black
吮指	Thumbsucker
星際大戰8	Star Wars: Episode VIII: Space Bear  
葉問3	Ip Man 3
美女與野獸	Beauty and the Beast 
關塔那摩X光營	Camp X-Ray 
巨塔殺機	Eastern Promises
自由大道	Milk
震盪	Concussion
林來瘋	Linsanity
陰兒房2	Insidious Chapter 2
快樂舞年級	Mad Hot Ballroom 
地海戰記	Tales from Earthsea 
馬達加斯加3	Madagascar 3: Europe's Most Wanted 
天使與魔鬼	Angels & Demons 
2016美國甜心	American Honey 
魔女嘉莉	Carrie
靈異航班	Passengers
獵頭遊戲	Headhunters
逐愛天堂	Angel
特攻聯盟2	Kick-Ass 2
刺殺傑西	The Assassination of Jesse James by the Coward Robert Ford
湖畔春光	Stranger by the Lake
溫特的故事2	Dolphin Tale 2
小腳怪	Smallfoot
心碎時光	Fugitive Pieces
藍色小精靈	The Smurfs
大學預備生	College
地獄怪客2	Hellboy 2
鬼哭人嚎	Town Creek 
夏日時光	Summer Hours 
漫漫回家路	Lion
夢想啟動	Spare Parts 
婚禮之後	After the Wedding
極地熊寶貝	Arctic Tale
非死不可	Friend Request 
蜂狂	Stung
插畫情緣	Dedication
─思想的行動	Vita Activa: The Spirit of Hannah Arendt
海賊天團	The Pirates! Band of Misfits
時空旅人之妻	The Time Traveler's Wife
恐懼虛空	The Void
驚爆焦點	Spotlight
時空效應	I'll Follow You Down 
東京奏鳴曲	Tokyo Sonata
厄夜叢林3	Blair Witch 
賞鳥的一年	The Big Year
嫁禍手段	Crossing Over
瘋狂農莊	Barnyard
特務風雲	The Good Shepherd
全家玩到趴	Vacation
大衛特大號	Meet Dave
人再囧途之泰囧	Lost in Thailand
臨時派報員	The Paperboy
小姐好窮	From Prada To Nada
鬼入鏡4	Paranormal Activity 4
辣妹愛宅男	She's Out of My League
超級盃奶爸	The Game Plan
勇士之家	Home of the Brave 
博物館驚魂夜2	Night at the Museum: Battle of the Smithsonian
精銳部隊	Elite Squad 
靈界線	Requiem
總統遊戲	Big Game
哈瑪斯之子	The Green Prince
幸福不設限	About Ray
金牌黑幫	Legend
落日車神	Drive
羅雷司	Dr. Seuss' The Lorax
靈異孤兒院	The Orphanage
舞動心方向	Marilyn Hotchkiss' Ballroom Dancing and Charm School
漢娜鄂蘭	Vita Activa: The Spirit of Hannah Arendt
愛情全壘打	Fever Pitch
玩咖尬宅爸	The Change-Up
貝伍夫:把愛找回來	August Rush
婚禮的祝福	Margot at the Wedding
麥克邁:超能壞蛋	Megamind
怪獸大學	Monsters University
鬼撕眠	Before I Wake 
眼鏡蛇男神	King Cobra 
白日夢孩子王	Wish I Was Here 
暴風雨	The Tempest
萬惡城市2	Sin City: A Dame to Kill For
甜心殺手	Miss Meadows
博物館驚魂夜3	Night at the Museum 3
名模大間諜2	Zoolander 2
異星大作戰	Attack the Block
美人魚之戀	Aquamarine
傲慢與偏見與殭屍	Pride and Prejudice and Zombies 
決戰新世界	The New World
凱蒂佩芮:做我自己	Katy Perry: Part of Me
末日危城	In the Name of the King: A Dungeon Siege Tale 
